fish_id,name_english,name_latin,origin,phmin,phmax,temperature_min,temperature_max,cm_max,tank_size_liter,image_url,swim
1,Brown-Point Shield Skin,Aspidoras fuscoguttatus,"Brazil, Peru,",6.0,7.2,22.0,25.0,3.8,50.0,https://selectyourfish.com/webps1/1.webp,1
2,Aspidoras Cory-Cat,Aspidoras raimundi,"Brazil,",6.0,7.5,20.0,25.0,4.5,55.0,https://selectyourfish.com/webps1/2.webp,1
3,Loach catfish,Aspidoras rochai,"Brazil,",6.0,7.5,21.0,25.0,4.4,55.0,https://selectyourfish.com/webps1/3.webp,1
4,Sixray cory,Aspidoras pauciradiatus,"Brazil,",5.5,7.2,21.0,27.0,3.5,50.0,https://selectyourfish.com/webps1/4.webp,1
5,Giant Brochis,Brochis britskii,"Brazil,",6.0,7.5,21.0,26.0,9.0,150.0,https://selectyourfish.com/webps1/5.webp,1
6,Emerald catfish,Corydoras splendens ,"Brazil, Peru, Ecuador, Colombia,",6.5,7.5,21.0,28.0,8.0,150.0,https://selectyourfish.com/webps1/6.webp,1
7,Hognosed brochis,Brochis multiradiatus,"Ecuador, Peru,",6.5,7.5,21.0,26.0,9.0,150.0,https://selectyourfish.com/webps1/7.webp,1
8,Adolfo's cory,Corydoras adolfoi,"Brazil, Colombia,",6.0,7.2,21.0,26.0,6.0,75.0,https://selectyourfish.com/webps1/8.webp,1
9,Banded cory,Scleromystax barbatus,"Brazil,",6.5,7.8,19.0,24.0,10.0,150.0,https://selectyourfish.com/webps1/9.webp,1
10,Masked cory,Corydoras metae,"Colombia, Venezuela,",6.0,7.5,21.0,26.0,5.0,55.0,https://selectyourfish.com/webps1/10.webp,1
11,Barred-tail cory,Corydoras cochui,"Brazil,",6.0,7.5,21.0,28.0,3.5,50.0,https://selectyourfish.com/webps1/11.webp,1
12,Blackstripe cory,Corydoras bondi,The Guianas,6.0,7.5,21.0,26.0,5.0,55.0,https://selectyourfish.com/webps1/12.webp,1
