plant_id,plant_name,origin,origin_info,growth_rate,growth_info,height_cm,height_info,light_demand,light_info,co2_demand,co2_info,thumbnail_url
1,Anubias barteri ’Coin Leaf’,Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,5 - 15+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/101F CLP/2.JPG&crop=resize&class=product
2,Bolbitis heudelotii,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,15 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/006 CLP/2.JPG&crop=resize&class=product
3,Echinodorus x barthii,Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/072A CLP/2.JPG&crop=resize&class=product
4,Aegagropila linnaei,Cosmopolitan,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Slow,Growth rate of the plant compared to other aquatic plants.,3 - 10+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/000C ST/2.png&crop=resize&class=product
5,Aegagropila linnaei,Cosmopolitan,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,3 - 10+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/000D MP/2.png&crop=resize&class=product
6,Aegagropila linnaei,Cosmopolitan,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",,Growth rate of the plant compared to other aquatic plants.,3 - 10+,Average height (cm) of the plant after two months in the tank.,,"The average or medium light demand of an aquarium plant is 0,5 W/L.",,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/000E POR/2.png&crop=resize&class=product
7,Alternanthera reineckii 'Mini',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,5 - 10+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/023C TC/2.png&crop=resize&class=product
8,Alternanthera reineckii 'Pink',South America,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/023 CLP/2.JPG&crop=resize&class=product
9,Alternanthera reineckii 'Pink',South America,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/023 XL/2.png&crop=resize&class=product
10,Alternanthera reineckii 'Pink',South America,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/023/2.png&crop=resize&class=product
11,Alternanthera reineckii 'Rosanervig',Cultivar,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,5 - 20+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/023D/2.png&crop=resize&class=product
12,Ammannia crassicaulis,Africa,"Country or continent where a plant is the most common.
Cultivars arise or are bred in cultivation.",Medium,Growth rate of the plant compared to other aquatic plants.,20 - 30+,Average height (cm) of the plant after two months in the tank.,Medium,"The average or medium light demand of an aquarium plant is 0,5 W/L.",Medium,"A medium need in CO2 is 6-14 mg/L.
A high demand in CO2 is approx. 15-25 mg/L.",https://tropica.com/imagegen.ashx?width=200&image=/Plants/033B/2.png&crop=resize&class=product
